Rk,Player,Age,G,GS,MP,FG,FGA,ThreeP,ThreePA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FGP,ThreePer,FTP,MPAVG,PTSAVG,TRBAVG,ASTAVG,STLAVG,BLKAVG,Series,ID
10,Kendrick Perkins,30,2,0,6,0,0,0,0,3,4,1,0,1,0,0,0,2,1,3,,,0.75,3.0999999,1.5,0.5,0,0,0,East 1stRd_15,75
11,Shawn Marion,36,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,0.89999998,0,0,0,2,0,East 1stRd_15,76
1,LeBron James,30,4,4,153,46,105,5,20,24,33,10,34,44,37,6,2,15,10,121,0.43799999,0.25,0.727,38.200001,30.299999,11,9.3000002,1.5,0.5,East Conference_15,77
2,J.R. Smith,29,4,0,135,26,52,16,34,4,5,2,28,30,8,3,3,5,11,72,0.5,0.47099999,0.80000001,33.700001,18,7.5,2,0.80000001,0.80000001,East Conference_15,78
3,Tristan Thompson,23,4,4,157,18,28,0,0,11,27,17,27,44,2,0,7,5,11,47,0.64300001,,0.40700001,39.200001,11.8,11,0.5,0,1.8,East Conference_15,79
4,Timofey Mozgov,28,4,4,106,17,30,0,0,9,11,13,17,30,1,1,5,6,11,43,0.56699997,,0.81800002,26.6,10.8,7.5,0.30000001,0.30000001,1.3,East Conference_15,80
5,Matthew Dellavedova,24,4,2,124,12,40,7,22,7,9,5,8,13,10,2,0,8,10,38,0.30000001,0.31799999,0.778,30.9,9.5,3.3,2.5,0.5,0,East Conference_15,81
6,Iman Shumpert,24,4,4,147,13,37,9,21,3,6,4,22,26,7,2,2,4,11,38,0.35100001,0.42899999,0.5,36.799999,9.5,6.5,1.8,0.5,0.5,East Conference_15,82
7,Kyrie Irving,22,2,2,49,10,21,4,6,2,4,2,5,7,11,1,1,3,2,26,0.47600001,0.667,0.5,24.6,13,3.5,5.5,0.5,0.5,East Conference_15,83
8,James Jones,34,4,0,80,6,18,6,16,5,6,1,6,7,6,3,1,0,6,23,0.333,0.375,0.833,19.9,5.8000002,1.8,1.5,0.80000001,0.30000001,East Conference_15,84
9,Joe Harris,23,2,0,8,2,5,1,3,2,2,0,1,1,1,0,0,0,1,7,0.40000001,0.333,1,4.0999999,3.5,0.5,0.5,0,0,East Conference_15,85
10,Mike Miller,34,1,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,1,1,,5.4000001,3,0,0,0,0,East Conference_15,86
11,Kendrick Perkins,30,1,0,5,1,2,0,0,1,2,0,2,2,0,0,0,1,1,3,0.5,,0.5,5.4000001,3,2,0,0,0,East Conference_15,87
12,Shawn Marion,36,3,0,14,1,4,0,0,0,0,1,3,4,1,0,0,0,0,2,0.25,,,4.5999999,0.69999999,1.3,0.30000001,0,0,East Conference_15,88
13,Brendan Haywood,35,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,0,East Conference_15,89
1,LeBron James,30,6,6,274,78,196,13,42,46,67,11,69,80,53,8,3,21,19,215,0.398,0.31,0.68699998,45.700001,35.799999,13.3,8.8000002,1.3,0.5,Finals_15,90
2,Timofey Mozgov,28,6,6,170,27,49,0,0,30,40,18,27,45,6,3,9,15,13,84,0.551,,0.75,28.299999,14,7.5,1,0.5,1.5,Finals_15,91
3,J.R. Smith,29,6,0,202,24,77,15,51,6,10,2,24,26,6,3,5,4,19,69,0.31200001,0.294,0.60000002,33.599998,11.5,4.3000002,1,0.5,0.80000001,Finals_15,92
4,Tristan Thompson,23,6,6,247,24,48,0,0,12,20,32,46,78,2,4,6,5,16,60,0.5,,0.60000002,41.099998,10,13,0.30000001,0.69999999,1,Finals_15,93
5,Matthew Dellavedova,24,6,5,191,15,53,6,26,9,11,4,12,16,16,7,0,15,19,45,0.28299999,0.23100001,0.81800002,31.799999,7.5,2.7,2.7,1.2,0,Finals_15,94
6,Iman Shumpert,24,6,6,215,11,43,8,25,9,14,6,17,23,4,11,4,7,19,39,0.25600001,0.31999999,0.64300001,35.900002,6.5,3.8,0.69999999,1.8,0.69999999,Finals_15,95
7,Kyrie Irving,22,1,1,44,10,22,2,8,1,1,2,5,7,6,4,2,1,5,23,0.45500001,0.25,1,43.599998,23,7,6,4,2,Finals_15,96
8,James Jones,34,6,0,113,6,19,4,13,4,4,0,8,8,2,4,1,4,19,20,0.31600001,0.308,1,18.799999,3.3,1.3,0.30000001,0.69999999,0.2,Finals_15,97
9,Mike Miller,34,5,0,28,1,2,1,2,0,0,0,1,1,0,1,0,1,3,3,0.5,0.5,,5.6999998,0.60000002,0.2,0,0.2,0,Finals_15,98
10,Kendrick Perkins,30,1,0,3,0,2,0,0,2,2,0,1,1,0,0,0,0,1,2,0,,1,3.0999999,2,1,0,0,0,Finals_15,99
11,Joe Harris,23,2,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,,,0.5,1.6,0.5,0,0,0,0,Finals_15,100
1,LeBron James,30,6,6,245,61,153,3,28,32,40,14,52,66,53,10,10,27,21,157,0.39899999,0.107,0.80000001,40.799999,26.200001,11,8.8000002,1.7,1.7,East Semi_15,101
2,Kyrie Irving,22,6,6,209,31,73,9,21,34,38,1,12,13,16,8,4,11,9,105,0.42500001,0.42899999,0.89499998,34.799999,17.5,2.2,2.7,1.3,0.69999999,East Semi_15,102
3,Iman Shumpert,24,6,6,217,28,69,14,39,6,8,9,18,27,10,8,6,1,10,76,0.40599999,0.359,0.75,36.200001,12.7,4.5,1.7,1.3,1,East Semi_15,103
4,Tristan Thompson,23,6,5,222,21,39,0,0,14,17,24,43,67,2,0,9,3,14,56,0.53799999,,0.824,37,9.3000002,11.2,0.30000001,0,1.5,East Semi_15,104
5,J.R. Smith,29,4,0,116,18,36,12,27,3,3,2,14,16,4,2,2,4,11,51,0.5,0.44400001,1,29.1,12.8,4,1,0.5,0.5,East Semi_15,105
6,Matthew Dellavedova,24,6,0,140,17,32,9,21,7,8,1,7,8,22,0,0,9,16,50,0.53100002,0.42899999,0.875,23.299999,8.3000002,1.3,3.7,0,0,East Semi_15,106
7,Timofey Mozgov,28,6,6,154,16,43,0,0,14,18,14,25,39,6,3,10,7,18,46,0.37200001,,0.778,25.700001,7.6999998,6.5,1,0.5,1.7,East Semi_15,107
8,James Jones,34,6,0,72,11,25,10,24,2,2,0,9,9,1,1,0,1,12,34,0.44,0.417,1,12,5.6999998,1.5,0.2,0.2,0,East Semi_15,108
9,Mike Miller,34,3,1,31,1,2,1,2,0,0,0,9,9,0,0,1,0,2,3,0.5,0.5,,10.5,1,3,0,0,0.30000001,East Semi_15,109
10,Kendrick Perkins,30,4,0,18,1,4,0,0,0,2,1,4,5,0,0,3,1,3,2,0.25,,0,4.5,0.5,1.3,0,0,0.80000001,East Semi_15,110
11,Joe Harris,23,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,2.0999999,0,0,0,0,0,East Semi_15,111
12,Shawn Marion,36,2,0,11,0,2,0,0,0,0,1,1,2,0,0,0,0,1,0,0,,,5.5,0,1,0,0,0,East Semi_15,112
1,Blake Griffin,25,7,7,288,64,137,0,3,41,54,19,73,92,52,10,10,19,18,169,0.46700001,0,0.759,41.099998,24.1,13.1,7.4000001,1.4,1.4,West 1stRd_15,113
2,Chris Paul,29,7,7,275,58,113,15,35,28,29,2,30,32,55,14,3,16,22,159,0.51300001,0.42899999,0.96600002,39.299999,22.700001,4.5999999,7.9000001,2,0.40000001,West 1stRd_15,114
3,J.J. Redick,30,7,7,274,34,77,15,36,13,15,0,16,16,9,7,1,12,18,96,0.442,0.417,0.86699998,39.099998,13.7,2.3,1.3,1,0.1,West 1stRd_15,115
4,DeAndre Jordan,26,7,7,252,30,42,0,0,28,73,23,70,93,4,2,18,10,16,88,0.71399999,,0.384,36.099998,12.6,13.3,0.60000002,0.30000001,2.5999999,West 1stRd_15,116
5,Jamal Crawford,34,7,0,181,33,86,6,30,10,10,0,11,11,12,1,1,7,12,82,0.384,0.2,1,25.799999,11.7,1.6,1.7,0.1,0.1,West 1stRd_15,117
6,Matt Barnes,34,7,7,197,20,49,10,29,3,7,11,24,35,6,12,5,8,25,53,0.40799999,0.345,0.42899999,28.200001,7.5999999,5,0.89999998,1.7,0.69999999,West 1stRd_15,118
7,Austin Rivers,22,7,0,99,16,39,2,7,4,8,4,4,8,5,2,0,2,8,38,0.41,0.28600001,0.5,14.2,5.4000001,1.1,0.69999999,0.30000001,0,West 1stRd_15,119
8,Glen Davis,29,7,0,85,11,23,0,1,3,5,6,14,20,2,2,4,7,20,25,0.47799999,0,0.60000002,12.2,3.5999999,2.9000001,0.30000001,0.30000001,0.60000002,West 1stRd_15,120
9,Lester Hudson,30,1,0,8,2,3,1,2,0,0,0,1,1,2,0,0,0,1,5,0.667,0.5,,7.9000001,5,1,2,0,0,West 1stRd_15,121
10,Spencer Hawes,26,3,0,11,1,6,0,1,0,0,0,2,2,0,0,1,0,1,2,0.167,0,,3.5999999,0.69999999,0.69999999,0,0,0.30000001,West 1stRd_15,122
11,Dahntay Jones,34,5,0,6,1,1,0,0,0,0,0,0,0,0,1,0,0,3,2,1,,,1.2,0.40000001,0,0,0.2,0,West 1stRd_15,123
12,Hedo Turkoglu,35,6,0,24,1,5,0,3,0,0,1,3,4,0,1,0,0,2,2,0.2,0,,4,0.30000001,0.69999999,0,0.2,0,West 1stRd_15,124
13,Ekpe Udoh,27,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4.8000002,0,0,0,0,0,West 1stRd_15,125
1,Blake Griffin,25,7,7,269,76,137,1,4,35,52,19,67,86,34,4,4,26,25,188,0.55500001,0.25,0.67299998,38.5,26.9,12.3,4.9000001,0.60000002,0.60000002,West Semi_15,126
2,J.J. Redick,30,7,7,266,36,84,20,52,20,20,0,14,14,15,3,4,14,18,112,0.42899999,0.38499999,1,38.099998,16,2,2.0999999,0.40000001,0.60000002,West Semi_15,127
3,Chris Paul,29,5,5,170,37,76,12,30,20,22,5,16,21,50,8,0,10,15,106,0.48699999,0.40000001,0.90899998,34,21.200001,4.1999998,10,1.6,0,West Semi_15,128
4,Jamal Crawford,34,7,0,199,34,100,12,44,16,20,6,13,19,15,12,2,10,22,96,0.34,0.273,0.80000001,28.4,13.7,2.7,2.0999999,1.7,0.30000001,West Semi_15,129
5,DeAndre Jordan,26,7,7,230,28,39,0,0,39,84,26,68,94,12,14,15,7,26,95,0.71799999,,0.46399999,32.900002,13.6,13.4,1.7,2,2.0999999,West Semi_15,130
6,Austin Rivers,22,7,2,151,30,66,11,28,8,11,2,14,16,11,8,4,10,20,79,0.45500001,0.39300001,0.727,21.5,11.3,2.3,1.6,1.1,0.60000002,West Semi_15,131
7,Matt Barnes,34,7,7,211,18,51,6,31,12,13,5,31,36,16,8,5,8,29,54,0.35299999,0.19400001,0.92299998,30.200001,7.6999998,5.0999999,2.3,1.1,0.69999999,West Semi_15,132
8,Spencer Hawes,26,5,0,46,8,11,3,5,2,2,3,8,11,5,2,2,1,11,21,0.727,0.60000002,1,9.1999998,4.1999998,2.2,1,0.40000001,0.40000001,West Semi_15,133
9,Glen Davis,29,7,0,58,6,15,0,0,4,4,3,4,7,1,3,1,2,13,16,0.40000001,,1,8.3000002,2.3,1,0.1,0.40000001,0.1,West Semi_15,134
10,Lester Hudson,30,6,0,30,4,11,1,5,0,0,0,0,0,5,2,1,3,7,9,0.36399999,0.2,,5,1.5,0,0.80000001,0.30000001,0.2,West Semi_15,135
11,Hedo Turkoglu,35,5,0,30,3,12,2,10,0,0,0,3,3,4,3,1,2,8,8,0.25,0.2,,6.0999999,1.6,0.60000002,0.80000001,0.60000002,0.2,West Semi_15,136
12,Dahntay Jones,34,6,0,12,1,1,0,0,0,0,0,1,1,0,1,0,0,4,2,1,,,2,0.30000001,0.2,0,0.2,0,West Semi_15,137
13,Ekpe Udoh,27,3,0,7,1,3,0,0,0,0,0,3,3,0,0,0,0,3,2,0.333,,,2.4000001,0.69999999,1,0,0,0,West Semi_15,138
1,Marc Gasol,30,5,5,192,33,79,0,1,36,42,6,40,46,25,2,12,6,12,102,0.41800001,0,0.85699999,38.299999,20.4,9.1999998,5,0.40000001,2.4000001,West 1stRd_15,139
2,Courtney Lee,29,5,5,168,31,47,6,11,18,19,1,12,13,7,6,0,4,11,86,0.66000003,0.54500002,0.94700003,33.5,17.200001,2.5999999,1.4,1.2,0,West 1stRd_15,140
3,Zach Randolph,33,5,5,176,30,86,0,3,10,12,13,29,42,9,2,0,8,18,70,0.34900001,0,0.833,35.200001,14,8.3999996,1.8,0.40000001,0,West 1stRd_15,141
4,Mike Conley,27,3,3,79,18,36,3,8,9,10,0,5,5,11,3,0,4,1,48,0.5,0.375,0.89999998,26.4,16,1.7,3.7,1,0,West 1stRd_15,142
5,Beno Udrih,32,4,0,82,19,39,2,7,7,8,4,8,12,12,0,0,1,7,47,0.48699999,0.28600001,0.875,20.5,11.8,3,3,0,0,West 1stRd_15,143
6,Jeff Green,28,5,1,126,14,52,2,7,16,18,3,25,28,8,2,4,5,10,46,0.26899999,0.28600001,0.889,25.299999,9.1999998,5.5999999,1.6,0.40000001,0.80000001,West 1stRd_15,144
